  *WEL.ASC - RUE                                 13.10.2015 11:30

  Ergebnisse GewaesserImmission-SimulationsMOdell    : GISMO 4.10 
  ====================================================
                                                      
  SYDRO Consult GmbH - Darmstadt                      
  SYDRO Software GbR - Dieburg                        
                                                      
   xxxxxxxxxxxxx                          
   yyyyyyyyyyyyyyyyyyy                    
   zzzzzzzzzzzzzzzzzzzzzzz                
   Datum der Simulation       : 13.10.2015 11:30 Uhr
   Wellenausgabe - Verzweigung: RUE             
  
   Datum   Zeit    Qtr_zu    Qzu    Qtr_ab1    Qab1   Qtr_ab2    Qab2    CSzu(3)   CSab1(3)   CSab2(3)
     -      -      cbm/s    cbm/s    cbm/s    cbm/s    cbm/s    cbm/s      mg/l       mg/l       mg/l
 19700623 09:05    0.019    0.020    0.019    0.020    0.000    0.000    979.667    979.667    979.667       T T
 19700623 09:10    0.019    0.020    0.019    0.020    0.000    0.000    984.174    984.174    984.174       T T
 19700623 09:15    0.019    0.020    0.019    0.020    0.000    0.000    987.724    987.724    987.724       T T
 19700623 09:20    0.019    0.019    0.019    0.019    0.000    0.000    990.515    990.515    990.515       T T
 19700623 09:25    0.019    0.019    0.019    0.019    0.000    0.000    992.700    992.700    992.700       T T
 19700623 09:30    0.019    0.019    0.019    0.019    0.000    0.000    994.405    994.405    994.405       T T
 19700623 09:35    0.019    0.019    0.019    0.019    0.000    0.000    995.730    995.730    995.730       T T
 19700623 09:40    0.019    0.019    0.019    0.019    0.000    0.000    996.758    996.758    996.758       T T
 19700623 09:45    0.019    0.019    0.019    0.019    0.000    0.000    997.602    997.602    997.602       T T
 19700623 09:50    0.019    0.019    0.019    0.019    0.000    0.000    998.306    998.306    998.306       T T
 19700623 09:55    0.019    0.019    0.019    0.019    0.000    0.000    998.850    998.850    998.850       T T
 19700623 10:00    0.017    0.017    0.017    0.017    0.000    0.000    986.902    986.902    986.902       T T
 19700623 10:05    0.016    0.016    0.016    0.016    0.000    0.000    982.484    982.484    982.484       T T
 19700623 10:10    0.016    0.040    0.016    0.040    0.000    0.000    467.835    467.835    467.835       T T
