  *WEL.ASC - BEK                                 13.10.2015 11:30

  Ergebnisse GewaesserImmission-SimulationsMOdell    : GISMO 4.10 
  ====================================================
                                                      
  SYDRO Consult GmbH - Darmstadt                      
  SYDRO Software GbR - Dieburg                        
                                                      
   xxxxxxxxxxxxx                          
   yyyyyyyyyyyyyyyyyyy                    
   zzzzzzzzzzzzzzzzzzzzzzz                
   Datum der Simulation   : 13.10.2015 11:30 Uhr
   Wellenausgabe - Becken : BEK             
  
 Datum_Zeit                  Qtzu             Qzu           Qtab1            Qab1          QabKue          QabBue          WSPABS          WSPREL          VolBek            O2zu           O2Bek           O2ab1           O2ab2           CSBzu          CSBBek          CSBab1          CSBab2           BSBzu          BSBBEK          BSBab1          BSBab2           NH4zu          NH4Bek          NH4ab1          NH4ab2             Tzu            TBek            Tab1            Tab2            pHzu           pHBEK           pHab1           pHab2           ALKzu          ALKBek          ALKab1          ALKab2           SICzu          SICBek          SICab1          SICab2             SSL  G  S
 -                          cbm/s           cbm/s           cbm/s           cbm/s           cbm/s           cbm/s             mNN               m          Tsdcbm            mg/l            mg/l            mg/l            mg/l            mg/l            mg/l            mg/l            mg/l            mg/l            mg/l            mg/l            mg/l            mg/l            mg/l            mg/l            mg/l              °C              °C              °C              °C               -               -               -               -          mmol/l          mmol/l          mmol/l          mmol/l          mmol/l          mmol/l          mmol/l          mmol/l              kg  -  -
   19700623 01:50         0.00030         0.00030         0.00030         0.00030         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       812.90729         0.00000       812.90729         0.00000       369.50330         0.00000       369.50330         0.00000        29.56026         0.00000        29.56026         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 01:55         0.00030         0.00030         0.00030         0.00030         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       812.90729         0.00000       812.90729         0.00000       369.50330         0.00000       369.50330         0.00000        29.56026         0.00000        29.56026         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 02:00         0.00026         0.00026         0.00026         0.00026         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       788.60681         0.00000       788.60681         0.00000       358.45761         0.00000       358.45761         0.00000        28.67661         0.00000        28.67661         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 02:05         0.00026         0.00026         0.00026         0.00026         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       773.71735         0.00000       773.71735         0.00000       351.68973         0.00000       351.68973         0.00000        28.13518         0.00000        28.13518         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 02:10         0.00026         0.00026         0.00026         0.00026         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       772.59296         0.00000       772.59296         0.00000       351.17862         0.00000       351.17862         0.00000        28.09429         0.00000        28.09429         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 02:15         0.00026         0.00026         0.00026         0.00026         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       772.57953         0.00000       772.57953         0.00000       351.17258         0.00000       351.17258         0.00000        28.09381         0.00000        28.09381         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 02:20         0.00026         0.00026         0.00026         0.00026         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       772.57941         0.00000       772.57941         0.00000       351.17252         0.00000       351.17252         0.00000        28.09380         0.00000        28.09380         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 02:25         0.00026         0.00026         0.00026         0.00026         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       772.57941         0.00000       772.57941         0.00000       351.17252         0.00000       351.17252         0.00000        28.09380         0.00000        28.09380         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 02:30         0.00026         0.00026         0.00026         0.00026         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       772.57941         0.00000       772.57941         0.00000       351.17252         0.00000       351.17252         0.00000        28.09380         0.00000        28.09380         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 02:35         0.00026         0.00026         0.00026         0.00026         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       772.57941         0.00000       772.57941         0.00000       351.17252         0.00000       351.17252         0.00000        28.09380         0.00000        28.09380         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
