  *WEL.ASC - FKA                                 13.10.2015 11:30

  Ergebnisse GewaesserImmission-SimulationsMOdell    : GISMO 4.10 
  ====================================================
                                                      
  SYDRO Consult GmbH - Darmstadt                      
  SYDRO Software GbR - Dieburg                        
                                                      
   xxxxxxxxxxxxx                          
   yyyyyyyyyyyyyyyyyyy                    
   zzzzzzzzzzzzzzzzzzzzzzz                
   Datum der Simulation   : 13.10.2015 11:30 Uhr
   Wellenausgabe - Flaeche: FKA             
  
   Datum   Zeit    VP    VW  Svab   hvu  PSIu  SUM(hN)     hN  hNeffb  hNeffu    Qtrab      Qab    QabVG    QabUB   CSab(3)
     -      -    mm/d    mm    mm    mm     -      mm      mm      mm      mm    cbm/s    cbm/s    cbm/s    cbm/s      mg/l
 19700623 05:35  1.32   8.7  0.20  9.67  0.00   0.237   0.029   0.000   0.000   0.0005   0.0005   0.0000   0.0000   857.719  T T
 19700623 05:40  1.32   8.7  0.23  9.67  0.00   0.249   0.012   0.000   0.000   0.0005   0.0005   0.0000   0.0000   857.719  T T
 19700623 05:45  1.32   8.7  0.24  9.67  0.00   0.261   0.012   0.000   0.000   0.0005   0.0005   0.0000   0.0000   857.719  T T
 19700623 05:50  1.32   8.7  0.24  9.67  0.00   0.273   0.012   0.000   0.000   0.0005   0.0005   0.0000   0.0000   857.719  T T
 19700623 05:55  1.32   8.7  0.25  9.67  0.00   0.285   0.012   0.000   0.000   0.0005   0.0005   0.0000   0.0000   857.719  T T
 19700623 06:00  1.82   8.7  0.26  9.67  0.00   0.297   0.012   0.000   0.000   0.0006   0.0006   0.0000   0.0000   897.535  T T
 19700623 06:05  1.82   8.7  0.26  9.67  0.00   0.309   0.012   0.000   0.000   0.0006   0.0006   0.0000   0.0000   897.535  T T
 19700623 06:10  1.82   8.8  0.27  9.67  0.00   0.321   0.012   0.000   0.000   0.0006   0.0006   0.0000   0.0000   897.535  T T
 19700623 06:15  1.82   8.8  0.27  9.67  0.00   0.486   0.165   0.000   0.000   0.0006   0.0006   0.0000   0.0000   897.535  T T
 19700623 06:20  1.82   8.9  0.43  9.67  0.00   0.535   0.049   0.000   0.000   0.0006   0.0006   0.0000   0.0000   897.535  T T
 19700623 06:25  1.82   9.0  0.48  9.67  0.00   0.584   0.049   0.000   0.000   0.0006   0.0006   0.0000   0.0000   897.535  T T
 19700623 06:30  1.82   9.0  0.52  9.67  0.00   1.923   1.339   0.461   0.000   0.0006   0.0122   0.0116   0.0000   173.715  T T
 19700623 06:35  1.82  10.4  1.50  9.67  0.00   5.047   3.124   3.019   0.000   0.0006   0.0900   0.0894   0.0000   141.548  T T
 19700623 06:40  1.82  13.5  1.50  9.67  0.00   5.069   0.022   0.016   0.000   0.0006   0.0964   0.0958   0.0000   141.214  T T
 19700623 06:45  1.82  13.5  1.50  8.20  0.00   0.000   0.000   0.000   0.000   0.0006   0.0412   0.0406   0.0000   147.498  T T
 19700623 06:50  1.82  13.5  1.49  8.20  0.00   0.000   0.000   0.000   0.000   0.0006   0.0091   0.0085   0.0000   186.171  T T
 19700623 06:55  1.82  13.5  1.49  8.20  0.00   0.000   0.000   0.000   0.000   0.0006   0.0022   0.0016   0.0000   340.043  T T
 19700623 07:00  2.15  13.5  1.48  8.20  0.00   0.000   0.000   0.000   0.000   0.0006   0.0015   0.0008   0.0000   477.039  T T
 19700623 07:05  2.15  13.5  1.47  8.20  0.00   0.000   0.000   0.000   0.000   0.0006   0.0012   0.0006   0.0000   543.319  T T
 19700623 07:10  2.15  13.5  1.47  8.20  0.00   0.000   0.000   0.000   0.000   0.0006   0.0011   0.0004   0.0000   610.554  T T
 19700623 07:15  2.15  13.5  1.46  8.20  0.00   0.000   0.000   0.000   0.000   0.0006   0.0009   0.0003   0.0000   679.226  T T
 19700623 07:20  2.15  13.5  1.45  8.20  0.00   0.000   0.000   0.000   0.000   0.0006   0.0008   0.0002   0.0000   742.419  T T
 19700623 07:25  2.15  13.5  1.44  8.20  0.00   0.000   0.000   0.000   0.000   0.0006   0.0008   0.0001   0.0000   794.926  T T
 19700623 07:30  2.15  13.5  1.44  8.20  0.00   0.000   0.000   0.000   0.000   0.0006   0.0007   0.0001   0.0000   834.861  T T
 19700623 07:35  2.15  13.5  1.43  8.20  0.00   0.000   0.000   0.000   0.000   0.0006   0.0007   0.0000   0.0000   863.124  T T
 19700623 07:40  2.15  13.5  1.42  8.20  0.00   0.000   0.000   0.000   0.000   0.0006   0.0007   0.0000   0.0000   882.040  T T
 19700623 07:45  2.15  13.5  1.41  8.20  0.00   0.000   0.000   0.000   0.000   0.0006   0.0007   0.0000   0.0000   894.182  T T
 19700623 07:50  2.15  13.5  1.41  8.20  0.00   0.000   0.000   0.000   0.000   0.0006   0.0007   0.0000   0.0000   899.772  F T
 19700623 07:55  2.15  13.5  1.40  8.20  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   912.909  F T
 19700623 08:00  2.48  13.5  1.39  8.20  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700623 08:05  2.48  13.5  1.38  8.20  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700623 08:10  2.48  13.5  1.37  8.20  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700623 08:15  2.48  13.5  1.37  8.20  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700623 08:20  2.48  13.5  1.36  8.20  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700623 08:25  2.48  13.5  1.35  8.20  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700623 08:30  2.48  13.5  1.34  8.20  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
