  *WEL.ASC - FKA                                 13.10.2015 11:30

  Ergebnisse GewaesserImmission-SimulationsMOdell    : GISMO 4.10 
  ====================================================
                                                      
  SYDRO Consult GmbH - Darmstadt                      
  SYDRO Software GbR - Dieburg                        
                                                      
   xxxxxxxxxxxxx                          
   yyyyyyyyyyyyyyyyyyy                    
   zzzzzzzzzzzzzzzzzzzzzzz                
   Datum der Simulation   : 13.10.2015 11:30 Uhr
   Wellenausgabe - Flaeche: FKA             
  
   Datum   Zeit    VP    VW  Svab   hvu  PSIu  SUM(hN)     hN  hNeffb  hNeffu    Qtrab      Qab    QabVG    QabUB   CSab(3)
     -      -    mm/d    mm    mm    mm     -      mm      mm      mm      mm    cbm/s    cbm/s    cbm/s    cbm/s      mg/l
 19700625 12:55  6.48  16.0  0.19  7.58  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700625 13:00  6.64  16.0  0.16  7.58  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700625 13:05  6.64  16.0  0.14  7.58  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700625 13:10  6.64  16.0  0.12  7.58  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700625 13:15  6.64  16.0  0.10  7.58  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700625 13:20  6.64  16.0  0.07  7.58  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700625 13:25  6.64  16.0  0.05  7.58  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700625 13:30  6.64  16.0  0.03  7.58  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700625 13:35  6.64  16.0  0.00  7.58  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700625 13:40  6.64  16.0  0.00  7.58  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700625 13:45  6.64  16.0  0.00  7.58  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700625 13:50  6.64  16.0  0.00  7.58  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700625 13:55  6.64  16.0  0.00  7.58  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700625 14:00  6.64  16.0  0.00  7.58  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700625 14:05  6.64  16.0  0.00  7.58  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700625 14:10  6.64  16.0  0.00  7.58  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700625 14:15  6.64  16.0  0.00  7.58  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700625 14:20  6.64  16.0  0.00  7.58  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700625 14:25  6.64  16.0  0.00  7.58  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700625 14:30  6.64  16.0  0.00  7.58  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700625 14:35  6.64  16.0  0.00  7.58  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700625 14:40  6.64  16.0  0.00  7.58  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700625 14:45  6.64  16.0  0.00  7.58  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700625 14:50  6.64  16.0  0.00  7.58  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700625 14:55  6.64  16.0  0.00  7.58  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700625 15:00  6.48  16.0  0.00  7.58  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700625 15:05  6.48  16.0  0.00  7.58  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700625 15:10  6.48  16.0  0.00  7.58  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700625 15:15  6.48  16.0  0.00  7.58  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700625 15:20  6.48  16.0  0.00  7.58  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700625 15:25  6.48  16.0  0.00  7.58  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700625 15:30  6.48  16.0  0.00  7.58  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700625 15:35  6.48  16.0  0.00  7.58  0.00   0.157   0.157   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  T T
 19700625 15:40  6.48  16.1  0.13  7.58  0.00   4.152   3.995   2.670   0.000   0.0009   0.0679   0.0670   0.0000   147.623  T T
 19700625 15:45  6.48  20.1  1.50  7.58  0.00   6.869   2.717   2.695   0.000   0.0009   0.1477   0.1468   0.0000   141.629  T T
 19700625 15:50  6.48  22.8  1.50  7.58  0.09  14.581   7.712   7.690   0.666   0.0009   0.3295   0.3073   0.0213   130.000  T T
 19700625 15:55  6.48  30.5  1.50  7.58  0.09  15.299   0.718   0.696   0.068   0.0009   0.3156   0.2874   0.0273   127.104  T T
 19700625 16:00  5.98  31.3  1.50  7.58  0.10  15.937   0.638   0.617   0.065   0.0009   0.1602   0.1437   0.0156   127.747  T T
 19700625 16:05  5.98  31.9  1.50  7.58  0.10  16.021   0.084   0.063   0.009   0.0009   0.0584   0.0514   0.0061   134.538  T T
 19700625 16:10  5.98  32.0  1.50  4.51  0.00   0.000   0.000   0.000   0.000   0.0009   0.0195   0.0166   0.0020   159.127  T T
 19700625 16:15  5.98  32.0  1.48  4.51  0.00   0.000   0.000   0.000   0.000   0.0009   0.0070   0.0055   0.0006   227.748  T T
 19700625 16:20  5.98  32.0  1.46  4.51  0.00   0.000   0.000   0.000   0.000   0.0009   0.0036   0.0025   0.0002   325.237  T T
 19700625 16:25  5.98  32.0  1.44  4.51  0.00   0.000   0.000   0.000   0.000   0.0009   0.0026   0.0016   0.0001   402.645  T T
 19700625 16:30  5.98  32.0  1.42  4.51  0.00   0.000   0.000   0.000   0.000   0.0009   0.0020   0.0011   0.0001   480.217  T T
 19700625 16:35  5.98  32.0  1.40  4.51  0.00   0.000   0.000   0.000   0.000   0.0009   0.0016   0.0007   0.0001   567.114  T T
 19700625 16:40  5.98  32.0  1.38  4.51  0.00   0.000   0.000   0.000   0.000   0.0009   0.0014   0.0005   0.0000   657.087  T T
 19700625 16:45  5.98  32.0  1.35  4.51  0.00   0.000   0.000   0.000   0.000   0.0009   0.0012   0.0003   0.0000   740.561  T T
 19700625 16:50  5.98  32.0  1.33  4.51  0.00   0.000   0.000   0.000   0.000   0.0009   0.0011   0.0002   0.0000   810.044  T T
 19700625 16:55  5.98  32.0  1.31  4.51  0.00   0.000   0.000   0.000   0.000   0.0009   0.0010   0.0001   0.0000   862.595  T T
 19700625 17:00  5.31  32.0  1.29  4.51  0.00   0.000   0.000   0.000   0.000   0.0008   0.0009   0.0001   0.0000   888.383  T T
 19700625 17:05  5.31  32.0  1.27  4.51  0.00   0.000   0.000   0.000   0.000   0.0008   0.0009   0.0000   0.0000   913.646  T T
 19700625 17:10  5.31  32.0  1.26  4.51  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   929.650  T T
 19700625 17:15  5.31  32.0  1.24  4.51  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   939.469  T T
 19700625 17:20  5.31  32.0  1.22  4.51  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   944.126  F T
 19700625 17:25  5.31  32.0  1.20  4.51  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   953.561  F T
 19700625 17:30  5.31  32.0  1.18  4.51  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   953.561  F T
 19700625 17:35  5.31  32.0  1.16  4.51  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   953.561  F T
 19700625 17:40  5.31  32.0  1.14  4.51  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   953.561  F T
 19700625 17:45  5.31  32.0  1.13  4.51  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   953.561  F T
 19700625 17:50  5.31  32.0  1.11  4.51  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   953.561  F T
 19700625 17:55  5.31  32.0  1.09  4.51  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   953.561  F T
 19700625 18:00  4.32  32.0  1.07  4.51  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   947.199  F T
 19700625 18:05  4.32  32.0  1.06  4.51  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   947.199  F T
 19700625 18:10  4.32  32.0  1.04  4.51  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   947.199  F T
 19700625 18:15  4.32  32.0  1.03  4.51  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   947.199  F T
 19700625 18:20  4.32  32.0  1.01  4.51  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   947.199  F T
 19700625 18:25  4.32  32.0  1.00  4.51  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   947.199  F T
 19700625 18:30  4.32  32.0  0.98  4.51  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   947.199  F T
 19700625 18:35  4.32  32.0  0.97  4.51  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   947.199  F T
 19700625 18:40  4.32  32.0  0.95  4.51  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   947.199  F T
 19700625 18:45  4.32  32.0  0.94  4.51  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   947.199  F T
 19700625 18:50  4.32  32.0  0.92  4.51  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   947.199  F T
 19700625 18:55  4.32  32.0  0.91  4.51  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   947.199  F T
 19700625 19:00  3.49  32.0  0.89  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   937.096  F T
 19700625 19:05  3.49  32.0  0.88  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   937.096  F T
 19700625 19:10  3.49  32.0  0.87  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   937.096  F T
 19700625 19:15  3.49  32.0  0.85  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   937.096  F T
 19700625 19:20  3.49  32.0  0.84  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   937.096  F T
 19700625 19:25  3.49  32.0  0.83  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   937.096  F T
 19700625 19:30  3.49  32.0  0.82  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   937.096  F T
 19700625 19:35  3.49  32.0  0.81  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   937.096  F T
 19700625 19:40  3.49  32.0  0.79  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   937.096  F T
 19700625 19:45  3.49  32.0  0.78  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   937.096  F T
 19700625 19:50  3.49  32.0  0.77  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   937.096  F T
 19700625 19:55  3.49  32.0  0.76  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   937.096  F T
 19700625 20:00  2.82  32.0  0.75  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700625 20:05  2.82  32.0  0.74  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700625 20:10  2.82  32.0  0.73  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700625 20:15  2.82  32.0  0.72  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700625 20:20  2.82  32.0  0.71  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700625 20:25  2.82  32.0  0.70  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700625 20:30  2.82  32.0  0.69  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700625 20:35  2.82  32.0  0.68  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700625 20:40  2.82  32.0  0.67  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700625 20:45  2.82  32.0  0.66  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700625 20:50  2.82  32.0  0.65  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700625 20:55  2.82  32.0  0.64  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700625 21:00  2.32  32.0  0.63  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700625 21:05  2.32  32.0  0.62  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700625 21:10  2.32  32.0  0.61  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700625 21:15  2.32  32.0  0.60  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700625 21:20  2.32  32.0  0.60  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700625 21:25  2.32  32.0  0.59  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700625 21:30  2.32  32.0  0.58  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700625 21:35  2.32  32.0  0.57  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700625 21:40  2.32  32.0  0.56  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700625 21:45  2.32  32.0  0.56  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700625 21:50  2.32  32.0  0.55  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700625 21:55  2.32  32.0  0.54  4.51  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700625 22:00  1.66  32.0  0.53  4.51  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   913.000  F T
 19700625 22:05  1.66  32.0  0.53  4.51  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   913.000  F T
 19700625 22:10  1.66  32.0  0.52  4.51  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   913.000  F T
 19700625 22:15  1.66  32.0  0.51  4.51  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   913.000  F T
 19700625 22:20  1.66  32.0  0.51  4.51  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   913.000  F T
 19700625 22:25  1.66  32.0  0.50  4.51  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   913.000  F T
 19700625 22:30  1.66  32.0  0.50  4.51  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   913.000  F T
 19700625 22:35  1.66  32.0  0.49  4.51  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   913.000  F T
 19700625 22:40  1.66  32.0  0.49  4.51  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   913.000  F T
 19700625 22:45  1.66  32.0  0.48  4.51  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   913.000  F T
 19700625 22:50  1.66  32.0  0.47  4.51  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   913.000  F T
 19700625 22:55  1.66  32.0  0.47  4.51  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   913.000  F T
 19700625 23:00  1.16  32.0  0.46  4.51  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   913.000  F T
 19700625 23:05  1.16  32.0  0.46  4.51  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   913.000  F T
 19700625 23:10  1.16  32.0  0.45  4.51  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   913.000  F T
 19700625 23:15  1.16  32.0  0.45  4.51  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   913.000  F T
 19700625 23:20  1.16  32.0  0.45  4.51  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   913.000  F T
 19700625 23:25  1.16  32.0  0.44  4.51  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   913.000  F T
 19700625 23:30  1.16  32.0  0.44  4.51  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   913.000  F T
 19700625 23:35  1.16  32.0  0.43  4.51  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   913.000  F T
 19700625 23:40  1.16  32.0  0.43  4.51  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   913.000  F T
 19700625 23:45  1.16  32.0  0.43  4.51  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   913.000  F T
 19700625 23:50  1.16  32.0  0.42  4.51  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   913.000  F T
 19700625 23:55  1.16  32.0  0.42  4.51  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   913.000  F T
 19700626 00:00  0.83  32.0  0.41  4.51  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   913.000  F T
 19700626 00:05  0.83  25.8  0.41  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 00:10  0.83  25.8  0.41  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 00:15  0.83  25.8  0.41  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 00:20  0.83  25.8  0.40  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 00:25  0.83  25.8  0.40  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 00:30  0.83  25.8  0.40  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 00:35  0.83  25.8  0.39  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 00:40  0.83  25.8  0.39  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 00:45  0.83  25.8  0.39  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 00:50  0.83  25.8  0.38  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 00:55  0.83  25.8  0.38  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 01:00  0.83  25.8  0.38  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 01:05  0.83  25.8  0.38  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 01:10  0.83  25.8  0.37  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 01:15  0.83  25.8  0.37  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 01:20  0.83  25.8  0.37  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 01:25  0.83  25.8  0.36  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 01:30  0.83  25.8  0.36  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 01:35  0.83  25.8  0.36  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 01:40  0.83  25.8  0.36  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 01:45  0.83  25.8  0.35  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 01:50  0.83  25.8  0.35  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 01:55  0.83  25.8  0.35  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 02:00  0.83  25.8  0.34  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 02:05  0.83  25.8  0.34  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 02:10  0.83  25.8  0.34  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 02:15  0.83  25.8  0.34  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 02:20  0.83  25.8  0.33  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 02:25  0.83  25.8  0.33  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 02:30  0.83  25.8  0.33  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 02:35  0.83  25.8  0.32  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 02:40  0.83  25.8  0.32  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 02:45  0.83  25.8  0.32  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 02:50  0.83  25.8  0.32  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 02:55  0.83  25.8  0.31  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 03:00  0.83  25.8  0.31  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 03:05  0.83  25.8  0.31  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 03:10  0.83  25.8  0.30  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 03:15  0.83  25.8  0.30  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 03:20  0.83  25.8  0.30  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 03:25  0.83  25.8  0.30  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 03:30  0.83  25.8  0.29  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 03:35  0.83  25.8  0.29  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 03:40  0.83  25.8  0.29  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 03:45  0.83  25.8  0.28  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 03:50  0.83  25.8  0.28  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 03:55  0.83  25.8  0.28  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 04:00  1.00  25.8  0.28  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 04:05  1.00  25.8  0.27  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 04:10  1.00  25.8  0.27  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 04:15  1.00  25.8  0.26  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 04:20  1.00  25.8  0.26  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 04:25  1.00  25.8  0.26  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 04:30  1.00  25.8  0.25  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
 19700626 04:35  1.00  25.8  0.25  5.51  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F T
