  *WEL.ASC - GER                                 13.10.2015 11:30

  Ergebnisse GewaesserImmission-SimulationsMOdell    : GISMO 4.10 
  ====================================================
                                                      
  SYDRO Consult GmbH - Darmstadt                      
  SYDRO Software GbR - Dieburg                        
                                                      
   xxxxxxxxxxxxx                          
   yyyyyyyyyyyyyyyyyyy                    
   zzzzzzzzzzzzzzzzzzzzzzz                
   Datum der Simulation   : 13.10.2015 11:30 Uhr
   Wellenausgabe - Gerinne: GER             
  
 Datum_Zeit                    Qzu              Qab             Qtzu             Qtab           Qurbzu           Qnatzu           Qurbab           Qnatab              WSP            Aquer            VDyna             MVol            cO2zu            cO2ab           O2Saet           cBSBzu           cBSBab           cAFSzu           cAFSab           cCSBzu           cCSBab             cTOC             cPO4             cNH4             cNO2             cNO3              Tzu              Tab               pH              ALK              SIC              NH3  G  S
 -                           cbm/s            cbm/s            cbm/s            cbm/s            cbm/s            cbm/s            cbm/s            cbm/s                m               qm              m/s                %             mg/l             mg/l                %             mg/l             mg/l             mg/l             mg/l             mg/l             mg/l             mg/l             mg/l             mg/l             mg/l             mg/l               °C               °C                -           mmol/l           mmol/l             mg/l  -  -
 23.06.1970 03:20          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.63398          9.53363         97.82591          2.95643          2.92262         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.56542         16.58757          7.96860          3.97083          4.05600          0.00459  F  F
 23.06.1970 03:25          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.63398          9.53364         97.82603          2.95643          2.92264         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.56469         16.58422          7.96860          3.97083          4.05600          0.00459  F  F
 23.06.1970 03:30          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.63398          9.53365         97.82610          2.95643          2.92265         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.56419         16.58104          7.96860          3.97083          4.05600          0.00459  F  F
 23.06.1970 03:35          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.63398          9.53366         97.82616          2.95643          2.92266         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.56385         16.57789          7.96860          3.97083          4.05600          0.00459  F  F
 23.06.1970 03:40          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.63398          9.53366         97.82619          2.95643          2.92267         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.56362         16.57483          7.96860          3.97083          4.05600          0.00459  F  F
 23.06.1970 03:45          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.63398          9.53366         97.82622          2.95643          2.92268         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.56347         16.57204          7.96860          3.97083          4.05600          0.00459  F  F
 23.06.1970 03:50          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.63398          9.53366         97.82623          2.95643          2.92268         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.56337         16.56967          7.96860          3.97083          4.05600          0.00459  F  F
 23.06.1970 03:55          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.63398          9.53367         97.82624          2.95643          2.92269         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.56330         16.56778          7.96860          3.97083          4.05600          0.00459  F  F
 23.06.1970 04:00          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.63804          9.53367         97.82626          2.95647          2.92269         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.56021         16.56636          7.96860          3.97083          4.05600          0.00459  F  F
 23.06.1970 04:05          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.64152          9.53367         97.82626          2.95652          2.92269         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.55674         16.56535          7.96860          3.97083          4.05600          0.00459  F  F
 23.06.1970 04:10          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.64328          9.53367         97.82626          2.95655          2.92269         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.55420         16.56464          7.96860          3.97083          4.05600          0.00459  F  F
 23.06.1970 04:15          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.64426          9.53367         97.82626          2.95657          2.92269         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.55149         16.56416          7.96860          3.97083          4.05600          0.00459  F  F
 23.06.1970 04:20          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.64491          9.53367         97.82626          2.95660          2.92269         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.54800         16.56383          7.96860          3.97083          4.05600          0.00459  F  F
 23.06.1970 04:25          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.64534          9.53367         97.82626          2.95662          2.92269         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.54407         16.56360          7.96860          3.97083          4.05600          0.00459  F  F
 23.06.1970 04:30          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.64563          9.53367         97.82626          2.95664          2.92269         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.54022         16.56346          7.96860          3.97083          4.05600          0.00459  F  F
 23.06.1970 04:35          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.64581          9.53367         97.82626          2.95666          2.92270         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.53676         16.56336          7.96860          3.97083          4.05600          0.00459  F  F
 23.06.1970 04:40          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.64593          9.53664         97.82383          2.95667          2.92277         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.53362         16.56300          7.96860          3.97083          4.05600          0.00459  F  F
 23.06.1970 04:45          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.64601          9.56431         97.80173          2.95668          2.92344         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.53059         16.55987          7.96860          3.97083          4.05600          0.00454  F  F
 23.06.1970 04:50          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.64607          9.56465         97.80512          2.95669          2.92348         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.52754         16.55649          7.96860          3.97083          4.05600          0.00454  F  F
 23.06.1970 04:55          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.64611          9.56481         97.80682          2.95670          2.92351         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.52452         16.55394          7.96860          3.97083          4.05600          0.00454  F  F
 23.06.1970 05:00          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.65020          9.56491         97.80780          2.95675          2.92354         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.51867         16.55116          7.96860          3.97083          4.05600          0.00454  F  F
 23.06.1970 05:05          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.65370          9.56497         97.80843          2.95680          2.92356         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.51282         16.54762          7.96860          3.97083          4.05600          0.00454  F  F
 23.06.1970 05:10          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.65548          9.56501         97.80885          2.95684          2.92358         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.50837         16.54370          7.96860          3.97083          4.05600          0.00454  F  F
 23.06.1970 05:15          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.65648          9.56504         97.80914          2.95686          2.92360         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.50422         16.53989          7.96860          3.97083          4.05600          0.00454  F  F
 23.06.1970 05:20          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.65713          9.56506         97.80931          2.95689          2.92362         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.49969         16.53646          7.96860          3.97083          4.05600          0.00454  F  F
 23.06.1970 05:25          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.65757          9.56507         97.80944          2.95691          2.92363         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.49502         16.53333          7.96860          3.97083          4.05600          0.00454  F  F
 23.06.1970 05:30          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.65786          9.56508         97.80952          2.95693          2.92364         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.49068         16.53029          7.96860          3.97083          4.05600          0.00454  F  T
 23.06.1970 05:35          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.65804          9.56508         97.80957          2.95695          2.92365         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.48688         16.52724          7.96860          3.97083          4.05600          0.00454  F  T
